Designator,Mid X,Mid Y,Rotation,Layer
C10,174.99458,-141.5796,180.0,top
C3,136.9296,-148.971,180.0,top
C5,124.6643,-134.3152,0.0,top
C6,124.9393,-141.605,0.0,top
C7,141.2494,-153.86178,90.0,top
D2,160.496,-153.8732,0.0,top
J1,125.2728,-152.4284,180.0,top
J2,117.5258,-147.6356,90.0,top
J3,169.3418,-153.924,270.0,top
L1,163.2966,-145.2626,180.0,top
Q1,143.8679,-127.0866,180.0,top
Q2,143.8933,-130.6457,180.0,top
Q3,143.8171,-123.439,180.0,top
Q4,143.9187,-119.888,180.0,top
R1,133.272,-148.971,180.0,top
R10,120.7527,-136.4742,180.0,top
R11,146.6342,-123.444,90.0,top
R12,146.685,-119.8626,90.0,top
R2,138.7584,-135.8646,180.0,top
R3,141.097,-127.0508,270.0,top
R4,141.1478,-130.6303,270.0,top
R5,146.685,-127.0762,90.0,top
R6,146.7104,-130.6049,90.0,top
R7,120.6168,-129.35945,180.0,top
R8,141.0462,-123.4186,270.0,top
R9,141.1224,-119.888,270.0,top
U1,143.9543,-126.4412,180.0,bottom
U2,137.5174,-142.5194,90.0,top
U3,166.7346,-128.5972,270.0,top
U4,126.0867,-129.9464,180.0,top
U5,126.1629,-137.9728,180.0,top
U7,150.397,-145.131,270.0,top
